url,error
http://ufcstats.com/fight-details/98d15e32630438d8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5751cf88f3e4a126,'NoneType' object is not iterable
http://ufcstats.com/fight-details/04ab1542925032ea,'NoneType' object is not iterable
http://ufcstats.com/fight-details/142123c2446b2582,'NoneType' object is not iterable
http://ufcstats.com/fight-details/6789480d7daea557,'NoneType' object is not iterable
http://ufcstats.com/fight-details/89229d26e5a75a32,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0168a8cd8315e59e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/670915f96aa81e03,'NoneType' object is not iterable
http://ufcstats.com/fight-details/75f519c5c6210bac,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1206dc7d5228f5bd,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a434830b1f2c43fc,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b2f7d2ff9b35d3b4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4fb8347a5c424198,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3a84cfc412e5e12a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/dcec9cc0f4ac8f95,'NoneType' object is not iterable
http://ufcstats.com/fight-details/782dc9eeaf21fd48,'NoneType' object is not iterable
http://ufcstats.com/fight-details/c9602f3ebb62d941,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4e0b7cd687a2eaf7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/256e88c788c5f08f,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8993e293a63bb5f3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1db0f571823145d8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/05dab1fe544f0030,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5af6dcedd96f0cc6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/cb640b7dcc9db7e8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7f9b6c3dd5ed62d6,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/cb052007d1f07eea,'NoneType' object is not iterable
http://ufcstats.com/fight-details/95f0f46de0602a57,'NoneType' object is not iterable
http://ufcstats.com/fight-details/56807c93aa7cad79,'NoneType' object is not iterable
http://ufcstats.com/fight-details/36cc34108a238ba3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7f4fb0609c41af8b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f15c1bd6bbaf2be2,'NoneType' object is not iterable
http://ufcstats.com/fight-details/23af9fdc2bed3a68,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d580cffa15744c99,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f790562b8bcec824,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/dd42bc42222ffa64,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e491dcf5c243c088,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9a27064991a9e9d4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/c0002de181334f3e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/411e1f1e89c609fb,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0eadf39171bd7e3e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5688f447e79de2a4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5d576cd36b515c03,'NoneType' object is not iterable
