fight_id,Fighter,KD_x,Sig. str._x,Sig. str. %_x,Total str._x,Td_x,Td %_x,Sub. att_x,Rev._x,Ctrl_x,Round,KD_y,Sig. str._y,Sig. str. %_y,Total str._y,Td_y,Td %_y,Sub. att_y,Rev._y,Ctrl_y,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
d71ad0033de24fff,Jodie Esquibel,0,19 of 41,46%,20 of 42,0 of 0,---,0,0,1:13,2,,,46%,,,,,,,19 of 41,10 of 26,6 of 12,3 of 3,12 of 34,3 of 3,4 of 4
d71ad0033de24fff,Jodie Esquibel,0,22 of 58,37%,22 of 58,0 of 1,0%,0,0,0:00,3,,,37%,,,,,,,22 of 58,16 of 47,3 of 8,3 of 3,21 of 56,1 of 2,0 of 0
dae80502466c8726,Tyson Nam,0,81 of 213,38%,98 of 242,0 of 0,---,0,0,0:30,0,0,81 of 213,38%,98 of 242,0 of 0,---,0,0,0:30,,,,,,,
dae80502466c8726,Tyson Nam,0,19 of 49,38%,19 of 49,0 of 0,---,0,0,0:00,1,,,38%,,,,,,,19 of 49,4 of 29,7 of 12,8 of 8,18 of 48,1 of 1,0 of 0
dae80502466c8726,Tyson Nam,0,31 of 80,38%,31 of 80,0 of 0,---,0,0,0:00,2,,,38%,,,,,,,31 of 80,10 of 57,11 of 12,10 of 11,30 of 79,1 of 1,0 of 0
dae80502466c8726,Tyson Nam,0,31 of 84,36%,48 of 113,0 of 0,---,0,0,0:30,3,,,36%,,,,,,,31 of 84,13 of 63,1 of 4,17 of 17,31 of 82,0 of 2,0 of 0
dae80502466c8726,Azat Maksum,0,46 of 189,24%,46 of 190,2 of 11,18%,0,0,0:22,0,0,46 of 189,24%,46 of 190,2 of 11,18%,0,0,0:22,,,,,,,
dae80502466c8726,Azat Maksum,0,18 of 60,30%,18 of 60,1 of 5,20%,0,0,0:16,1,,,30%,,,,,,,18 of 60,10 of 50,7 of 9,1 of 1,18 of 57,0 of 3,0 of 0
dae80502466c8726,Azat Maksum,0,15 of 73,20%,15 of 73,0 of 3,0%,0,0,0:00,2,,,20%,,,,,,,15 of 73,10 of 64,5 of 9,0 of 0,15 of 70,0 of 3,0 of 0
dae80502466c8726,Azat Maksum,0,13 of 56,23%,13 of 57,1 of 3,33%,0,0,0:06,3,,,23%,,,,,,,13 of 56,13 of 53,0 of 3,0 of 0,13 of 56,0 of 0,0 of 0
11a5a852313d1f5b,Jessica Andrade,0,12 of 32,37%,12 of 32,0 of 0,---,0,0,0:00,0,0,12 of 32,37%,12 of 32,0 of 0,---,0,0,0:00,,,,,,,
11a5a852313d1f5b,Jessica Andrade,0,12 of 32,37%,12 of 32,0 of 0,---,0,0,0:00,1,,,37%,,,,,,,12 of 32,5 of 23,3 of 3,4 of 6,12 of 32,0 of 0,0 of 0
11a5a852313d1f5b,Yan Xiaonan,1,26 of 36,72%,26 of 36,0 of 0,---,0,0,0:02,0,1,26 of 36,72%,26 of 36,0 of 0,---,0,0,0:02,,,,,,,
11a5a852313d1f5b,Yan Xiaonan,1,26 of 36,72%,26 of 36,0 of 0,---,0,0,0:02,1,,,72%,,,,,,,26 of 36,12 of 22,5 of 5,9 of 9,23 of 33,0 of 0,3 of 3
d87755257628de36,Kris McCray,0,3 of 8,37%,14 of 19,2 of 2,100%,0,0,1:30,0,0,3 of 8,37%,14 of 19,2 of 2,100%,0,0,1:30,,,,,,,
d87755257628de36,Kris McCray,0,3 of 8,37%,14 of 19,2 of 2,100%,0,0,1:30,1,,,37%,,,,,,,3 of 8,1 of 4,2 of 3,0 of 1,1 of 5,0 of 1,2 of 2
d87755257628de36,Carlos Eduardo Rocha,0,2 of 4,50%,3 of 5,0 of 0,---,1,1,0:24,0,0,2 of 4,50%,3 of 5,0 of 0,---,1,1,0:24,,,,,,,
d87755257628de36,Carlos Eduardo Rocha,0,2 of 4,50%,3 of 5,0 of 0,---,1,1,0:24,1,,,50%,,,,,,,2 of 4,1 of 3,0 of 0,1 of 1,2 of 4,0 of 0,0 of 0
f754d17d5047d536,Tom Lawlor,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,0,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,,,,,,,
f754d17d5047d536,Tom Lawlor,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,1,,,28%,,,,,,,2 of 7,2 of 7,0 of 0,0 of 0,2 of 7,0 of 0,0 of 0
f754d17d5047d536,Chris Weidman,0,3 of 6,50%,3 of 6,1 of 1,100%,1,0,1:27,0,0,3 of 6,50%,3 of 6,1 of 1,100%,1,0,1:27,,,,,,,
f754d17d5047d536,Chris Weidman,0,3 of 6,50%,3 of 6,1 of 1,100%,1,0,1:27,1,,,50%,,,,,,,3 of 6,2 of 4,1 of 2,0 of 0,3 of 6,0 of 0,0 of 0
014f7dc96c90c199,Thales Leites,0,11 of 17,64%,20 of 27,3 of 9,33%,3,0,7:41,0,0,11 of 17,64%,20 of 27,3 of 9,33%,3,0,7:41,,,,,,,
014f7dc96c90c199,Thales Leites,0,5 of 7,71%,6 of 8,1 of 7,14%,0,0,2:27,1,,,71%,,,,,,,5 of 7,1 of 3,0 of 0,4 of 4,4 of 6,1 of 1,0 of 0
014f7dc96c90c199,Thales Leites,0,6 of 10,60%,14 of 19,1 of 1,100%,2,0,4:43,2,,,60%,,,,,,,6 of 10,4 of 8,1 of 1,1 of 1,2 of 3,0 of 0,4 of 7
014f7dc96c90c199,Thales Leites,0,0 of 0,---,0 of 0,1 of 1,100%,1,0,0:31,3,,,---,,,,,,,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
014f7dc96c90c199,Jack Hermansson,0,35 of 56,62%,49 of 71,3 of 3,100%,1,0,2:06,0,0,35 of 56,62%,49 of 71,3 of 3,100%,1,0,2:06,,,,,,,
014f7dc96c90c199,Jack Hermansson,0,16 of 31,51%,27 of 43,3 of 3,100%,0,0,1:32,1,,,51%,,,,,,,16 of 31,7 of 19,4 of 6,5 of 6,11 of 24,2 of 2,3 of 5
014f7dc96c90c199,Jack Hermansson,0,2 of 5,40%,2 of 5,0 of 0,---,0,0,0:00,2,,,40%,,,,,,,2 of 5,1 of 4,0 of 0,1 of 1,2 of 5,0 of 0,0 of 0
014f7dc96c90c199,Jack Hermansson,0,17 of 20,85%,20 of 23,0 of 0,---,1,0,0:34,3,,,85%,,,,,,,17 of 20,17 of 20,0 of 0,0 of 0,1 of 1,0 of 0,16 of 19
80572cac6ab57866,Stephen Thompson,1,70 of 156,44%,70 of 156,0 of 0,---,0,0,0:03,0,1,70 of 156,44%,70 of 156,0 of 0,---,0,0,0:03,,,,,,,
80572cac6ab57866,Stephen Thompson,0,13 of 27,48%,13 of 27,0 of 0,---,0,0,0:00,1,,,48%,,,,,,,13 of 27,9 of 19,3 of 6,1 of 2,13 of 27,0 of 0,0 of 0
80572cac6ab57866,Stephen Thompson,1,18 of 43,41%,18 of 43,0 of 0,---,0,0,0:02,2,,,41%,,,,,,,18 of 43,14 of 37,2 of 4,2 of 2,18 of 43,0 of 0,0 of 0
80572cac6ab57866,Stephen Thompson,0,39 of 86,45%,39 of 86,0 of 0,---,0,0,0:01,3,,,45%,,,,,,,39 of 86,26 of 61,12 of 24,1 of 1,39 of 85,0 of 1,0 of 0
80572cac6ab57866,Jorge Masvidal,0,42 of 142,29%,42 of 142,0 of 2,0%,0,0,0:03,0,0,42 of 142,29%,42 of 142,0 of 2,0%,0,0,0:03,,,,,,,
80572cac6ab57866,Jorge Masvidal,0,12 of 33,36%,12 of 33,0 of 0,---,0,0,0:00,1,,,36%,,,,,,,12 of 33,0 of 13,2 of 5,10 of 15,12 of 33,0 of 0,0 of 0
80572cac6ab57866,Jorge Masvidal,0,14 of 43,32%,14 of 43,0 of 1,0%,0,0,0:01,2,,,32%,,,,,,,14 of 43,3 of 23,0 of 3,11 of 17,12 of 40,2 of 3,0 of 0
80572cac6ab57866,Jorge Masvidal,0,16 of 66,24%,16 of 66,0 of 1,0%,0,0,0:02,3,,,24%,,,,,,,16 of 66,6 of 43,3 of 5,7 of 18,15 of 64,1 of 2,0 of 0
ebeeed2595266bbc,Sean Woodson,1,38 of 71,53%,38 of 71,0 of 0,---,0,0,1:03,0,1,38 of 71,53%,38 of 71,0 of 0,---,0,0,1:03,,,,,,,
ebeeed2595266bbc,Sean Woodson,1,38 of 71,53%,38 of 71,0 of 0,---,0,0,1:03,1,,,53%,,,,,,,38 of 71,35 of 64,0 of 3,3 of 4,36 of 69,0 of 0,2 of 2
ebeeed2595266bbc,Fernando Padilla,0,22 of 69,31%,24 of 72,0 of 0,---,0,0,0:09,0,0,22 of 69,31%,24 of 72,0 of 0,---,0,0,0:09,,,,,,,
ebeeed2595266bbc,Fernando Padilla,0,22 of 69,31%,24 of 72,0 of 0,---,0,0,0:09,1,,,31%,,,,,,,22 of 69,14 of 59,4 of 6,4 of 4,17 of 61,5 of 8,0 of 0
5a209522211d7530,Jasmine Jasudavicius,0,18 of 76,23%,72 of 138,3 of 5,60%,0,0,8:09,0,0,18 of 76,23%,72 of 138,3 of 5,60%,0,0,8:09,,,,,,,
5a209522211d7530,Jasmine Jasudavicius,0,1 of 17,5%,5 of 22,1 of 2,50%,0,0,1:49,1,,,5%,,,,,,,1 of 17,0 of 13,1 of 4,0 of 0,1 of 17,0 of 0,0 of 0
5a209522211d7530,Jasmine Jasudavicius,0,9 of 37,24%,20 of 50,1 of 2,50%,0,0,2:20,2,,,24%,,,,,,,9 of 37,4 of 32,3 of 3,2 of 2,8 of 35,1 of 2,0 of 0
5a209522211d7530,Jasmine Jasudavicius,0,8 of 22,36%,47 of 66,1 of 1,100%,0,0,4:00,3,,,36%,,,,,,,8 of 22,7 of 20,1 of 2,0 of 0,8 of 22,0 of 0,0 of 0
5a209522211d7530,Karine Silva,0,15 of 43,34%,88 of 127,0 of 0,---,2,0,0:00,0,0,15 of 43,34%,88 of 127,0 of 0,---,2,0,0:00,,,,,,,
5a209522211d7530,Karine Silva,0,7 of 12,58%,36 of 45,0 of 0,---,0,0,0:00,1,,,58%,,,,,,,7 of 12,2 of 6,1 of 1,4 of 5,6 of 11,1 of 1,0 of 0
5a209522211d7530,Karine Silva,0,4 of 21,19%,12 of 31,0 of 0,---,1,0,0:00,2,,,19%,,,,,,,4 of 21,2 of 17,0 of 2,2 of 2,4 of 21,0 of 0,0 of 0
5a209522211d7530,Karine Silva,0,4 of 10,40%,40 of 51,0 of 0,---,1,0,0:00,3,,,40%,,,,,,,4 of 10,1 of 7,0 of 0,3 of 3,4 of 10,0 of 0,0 of 0
1117f90ee81e0bbf,Patrick Walsh,0,11 of 24,45%,110 of 127,5 of 7,71%,3,0,11:03,0,0,11 of 24,45%,110 of 127,5 of 7,71%,3,0,11:03,,,,,,,
1117f90ee81e0bbf,Patrick Walsh,0,5 of 11,45%,41 of 47,1 of 1,100%,2,0,4:11,1,,,45%,,,,,,,5 of 11,5 of 11,0 of 0,0 of 0,1 of 4,0 of 0,4 of 7
1117f90ee81e0bbf,Patrick Walsh,0,2 of 4,50%,27 of 30,2 of 4,50%,1,0,3:05,2,,,50%,,,,,,,2 of 4,2 of 4,0 of 0,0 of 0,1 of 3,1 of 1,0 of 0
1117f90ee81e0bbf,Patrick Walsh,0,4 of 9,44%,42 of 50,2 of 2,100%,0,0,3:47,3,,,44%,,,,,,,4 of 9,4 of 9,0 of 0,0 of 0,2 of 5,0 of 0,2 of 4
1117f90ee81e0bbf,Daniel Spohn,0,24 of 51,47%,52 of 80,0 of 1,0%,2,0,1:04,0,0,24 of 51,47%,52 of 80,0 of 1,0%,2,0,1:04,,,,,,,
1117f90ee81e0bbf,Daniel Spohn,0,6 of 11,54%,9 of 14,0 of 0,---,1,0,0:00,1,,,54%,,,,,,,6 of 11,3 of 8,0 of 0,3 of 3,6 of 11,0 of 0,0 of 0
