fighter,prior_to_date,rating,rating_deviation,volatility
Cody Stamann,2019-03-02,1796.5346672298988,181.81080428689168,0.059999959976402735
Cody Stamann,2019-12-07,1886.6255318671733,165.32766193745687,0.059999965260416614
Cody Stamann,2020-06-06,1946.0818206589638,153.45285769660308,0.059999965260416614
Cody Stamann,2020-07-15,1979.6523433326374,144.17033944363217,0.05999993006485493
Cody Stamann,2021-05-01,1919.6992246244274,135.30105264749375,0.05999993006485493
Cody Stamann,2022-01-22,1866.9616923288718,128.58315605796122,0.05999993006485493
Cody Stamann,2022-06-18,1822.3525447291263,123.1498331840703,0.05999993006485493
Cody Stamann,2023-01-21,1845.392083714756,117.97474438127355,0.05999988332473411
Cody Stamann,2023-05-13,1856.3133617921433,116.44764762487173,0.05999988332473411
Cody Stamann,2024-06-08,1807.2015958742497,112.6142124498309,0.059999912018486375
Cody Stamann,2024-11-09,1766.1018793636842,109.20140004968488,0.05999993401437329
Colby Covington,2014-08-23,1500.0,350.0,0.06
Colby Covington,2014-11-08,1731.884897850421,286.9272091102572,0.06000006469112045
Colby Covington,2015-05-23,1778.1148961987228,262.4133140732487,0.06000006469112045
Colby Covington,2015-12-12,1913.4918445843643,213.57322952346965,0.06000006469112045
Colby Covington,2016-06-18,1833.4565664661425,190.6901884326874,0.06000006469112045
Colby Covington,2016-08-20,1861.3503148582965,182.7641487674293,0.06000006469112045
Colby Covington,2016-12-17,1885.1639816166658,176.20963828991293,0.06000006469112045
Colby Covington,2017-06-17,1951.6786129425054,162.14350787206362,0.06000006469112045
Colby Covington,2017-10-28,2019.1125830437722,148.75236915973852,0.06000006469112045
Colby Covington,2018-06-09,2073.321382362614,137.74681089542997,0.06000006469112045
Colby Covington,2019-08-03,2110.611960203827,129.27815440584496,0.06000006469112045
Colby Covington,2019-12-14,2133.048100482859,123.59663397351999,0.06000006469112045
Colby Covington,2020-09-19,2104.849516377637,118.07280774542187,0.06000006469112045
Colby Covington,2021-11-06,2138.1611935019437,112.63191093850821,0.06000006469112045
Colby Covington,2022-03-05,2118.6177633095995,108.85483632649719,0.06000006469112045
Colby Covington,2023-12-16,2136.9125702378187,105.37702455702438,0.06000006469112045
Colby Covington,2024-12-14,2109.8633939364095,101.74582824497118,0.06000006469112045
Colby Thicknesse,2025-02-08,1500.0,350.0,0.06
Colby Thicknesse,2025-09-27,1337.6891050239633,290.3189646746798,0.059999999975475136
Colby Thicknesse,2026-05-02,1511.65835183802,246.50392947746272,0.060000039490145464
Cole Escovedo,2006-03-17,1500.0,350.0,0.06
Cole Escovedo,2006-08-17,1337.6891050239633,290.3189646746798,0.059999999975475136
Cole Escovedo,2010-03-22,1208.0654449219521,247.46328287569406,0.059999999975475136
Cole Escovedo,2010-09-25,1414.3347831250178,222.08173484852543,0.06000011143495158
Cole Escovedo,2011-05-28,1336.08800549031,196.3675721201942,0.06000011143495158
Cole Escovedo,2011-09-24,1321.302500206978,190.52561070247006,0.06000011143495158
Cole Escovedo,2011-11-12,1288.0027631661344,177.52407371808007,0.060000063988564514
Cole Miller,2007-06-23,1500.0,350.0,0.06
Cole Miller,2007-09-19,1662.3108949760367,290.3189646746798,0.059999999975475136
Cole Miller,2008-01-23,1765.2600414986637,245.59668811907991,0.05999996872226301
Cole Miller,2008-07-05,1584.3862718284504,223.4341619831527,0.06000006183040844
Cole Miller,2009-04-01,1666.8536174473095,196.4330111048737,0.06000006183040844
Cole Miller,2009-09-19,1735.9869302917753,181.59770939787774,0.06000006183040844
Cole Miller,2010-01-02,1665.3404114477305,170.01200258240425,0.06000006749397381
Cole Miller,2010-09-15,1705.9980982181805,159.8080091146736,0.060000031933008846
Cole Miller,2011-01-22,1776.542316966704,150.35541667325495,0.06000006842953128
Cole Miller,2011-08-14,1707.243185229075,141.13567687197778,0.060000091129954684
Cole Miller,2012-03-02,1722.8804002271747,137.5094094785405,0.06000005690664315
Cole Miller,2012-08-04,1681.003141172509,132.46386948751453,0.06000006045445227
Cole Miller,2013-04-13,1608.6445956968735,129.53921446924085,0.06000027003040261
Cole Miller,2013-08-17,1648.6634135182503,122.85762095491098,0.06000027003040261
Cole Miller,2013-10-26,1611.6423749506328,117.06174196823751,0.06000027003040261
Cole Miller,2014-01-15,1640.7708726518613,113.65034207244531,0.06000027003040261
Cole Miller,2015-02-14,1658.106352511526,110.62686450995263,0.060000223533692096
Cole Miller,2016-06-04,1635.7439659362549,106.94417308031308,0.060000178953352974
Cole Miller,2016-12-17,1600.705827738232,103.47680619399543,0.06000021882255182
Cole Province,2008-12-03,1500.0,350.0,0.06
Cole Province,2009-08-09,1337.6891050239633,290.3189646746798,0.059999999975475136
Cole Province,2010-09-30,1480.584765915826,247.4193904303503,0.059999999975475136
Cole Smith,2019-05-04,1500.0,350.0,0.06
Cole Smith,2019-09-14,1714.032427513189,263.81844312292407,0.06000005316631564
Cole Smith,2020-09-05,1588.9814067333134,230.8010397400254,0.06000005316631564
Cole Williams,2019-08-03,1500.0,350.0,0.06
Cole Williams,2020-10-31,1451.3591078584082,310.0853909103602,0.05999996734598529
Colin Fletcher,2012-12-14,1500.0,350.0,0.06
Colin Fletcher,2013-03-16,1337.6891050239633,290.3189646746798,0.059999999975475136
Colin Robinson,2007-06-16,1500.0,350.0,0.06
Colin Robinson,2008-01-19,1374.9953591912122,281.89920786157165,0.05999996790692426
Colleen Schneider,2010-08-13,1500.0,350.0,0.06
Colley  Bradford,2006-07-28,1500.0,350.0,0.06
Collin Anglin,2020-09-15,1500.0,350.0,0.06
Collin Anglin,2021-07-31,1662.3108949760367,290.3189646746798,0.059999999975475136
Collin Anglin,2021-11-13,1532.6872348740255,247.46328287569406,0.059999999975475136
Collin Hart,2013-04-13,1500.0,350.0,0.06
Collin Huckbody,2020-08-25,1500.0,350.0,0.06
Colton Smith,2012-12-15,1500.0,350.0,0.06
Colton Smith,2013-05-25,1662.3108949760367,290.3189646746798,0.059999999975475136
Colton Smith,2013-11-06,1532.6872348740255,247.46328287569406,0.059999999975475136
Colton Smith,2014-06-28,1459.4822359733967,216.8565471976669,0.05999995825363502
Connor Matthews,2022-08-02,1500.0,350.0,0.06
Connor Matthews,2023-10-10,1337.6891050239633,290.3189646746798,0.059999999975475136
Connor Matthews,2024-03-30,1502.5491470540571,256.34517489026445,0.060000036336865674
Connor Matthews,2025-02-15,1338.2998145237866,221.7481345167171,0.06000013496310295
Connor Matthews,2025-05-17,1301.3514678642255,207.68301106324898,0.060000101210326
Conor Heun,2010-06-16,1500.0,350.0,0.06
Conor Heun,2011-06-18,1420.3209897479474,288.2646697614414,0.0599999514089626
Conor Heun,2012-03-03,1562.1870821367463,252.8528941208632,0.0599999514089626
Conor McGregor,2013-04-06,1500.0,350.0,0.06
Conor McGregor,2013-08-17,1837.192426362882,295.95681590902433,0.06000018974367644
Conor McGregor,2014-07-19,1914.6019482846584,249.66945449640207,0.06000015071203338
Conor McGregor,2014-09-27,1972.309512863882,219.51956022391983,0.06000011498346123
Conor McGregor,2015-01-18,2037.7202624233232,192.2722577255776,0.06000008065224548
Conor McGregor,2015-07-11,2071.0685962740927,177.86041567551473,0.06000008065224548
Conor McGregor,2015-12-12,2135.867203199492,160.65792973418152,0.06000008065224548
Conor McGregor,2016-03-05,2206.864734488376,148.10562522111735,0.06000008065224548
Conor McGregor,2016-08-20,2108.658333729648,143.00305556139514,0.06000010913602885
Conor McGregor,2016-11-12,2133.4267437096123,135.72574866570085,0.06000010913602885
Conor McGregor,2018-10-06,2164.9729102216825,128.54939799024763,0.06000010913602885
Conor McGregor,2020-01-18,2126.455423432062,122.04620756021049,0.06000010913602885
Conor McGregor,2021-01-23,2149.3673227334075,116.84474945004372,0.06000010913602885
Conor McGregor,2021-07-10,2101.0159211728865,112.3365991884838,0.06000010913602885
Constantinos Philippou,2011-03-19,1500.0,350.0,0.06
Constantinos Philippou,2011-08-06,1336.5085401970096,266.34605464617,0.06
Constantinos Philippou,2011-12-10,1599.6934775736468,238.8873860676461,0.06000024086811188
Constantinos Philippou,2012-03-02,1708.5203261869847,205.7313104359769,0.06000024226890913
Constantinos Philippou,2012-07-07,1804.7854474070562,186.14887575863676,0.060000255326005524
Constantinos Philippou,2012-12-29,1853.9550858811995,171.29785522132565,0.060000217591748575
Constantinos Philippou,2013-09-21,1917.5235219931023,156.386549963813,0.060000217591748575
Constantinos Philippou,2014-01-15,1874.7049929520772,146.30837647204757,0.060000185071114834
Constantinos Philippou,2014-05-10,1837.7561048495136,137.5427062268786,0.06000014722876966
Constantinos Philippou,2015-05-16,1878.4748435305391,129.88654389905747,0.060000115430177095
Corey Anderson,2014-07-06,1500.0,350.0,0.06
