fight_id,fighter,kd,sig_str_pct,td_pct,sub_att,rev,round,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sig_str_landed,sig_str_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_secs
c92a4fe402579c49,Steve Bruno,0,33,12,0,0,3,1,3,1,3,1,8,1,3,0,2,1,1,0,0,1,3,0,0,0,0,36
bfe4950b3de83e9c,Iwo Baraniewski,1,27,0,0,0,0,6,22,6,22,0,1,,,,,,,,,,,,,,,17
bfe4950b3de83e9c,Iwo Baraniewski,1,27,0,0,0,1,6,22,6,22,0,1,6,22,2,18,1,1,3,3,4,6,0,2,2,14,17
bfe4950b3de83e9c,Junior Tafa,0,0,,0,0,0,0,8,0,8,0,0,,,,,,,,,,,,,,,0
bfe4950b3de83e9c,Junior Tafa,0,0,,0,0,1,0,8,0,8,0,0,0,8,0,6,0,2,0,0,0,8,0,0,0,0,0
357781ff34a3d39f,James Moontasri,0,50,,1,0,0,32,63,62,104,0,0,,,,,,,,,,,,,,,148
357781ff34a3d39f,James Moontasri,0,52,,0,0,1,30,57,60,98,0,0,30,57,24,48,6,9,0,0,3,5,13,22,14,30,106
357781ff34a3d39f,James Moontasri,0,33,,1,0,2,2,6,2,6,0,0,2,6,1,5,0,0,1,1,2,6,0,0,0,0,42
357781ff34a3d39f,Cody Pfister,0,37,0,0,0,0,12,32,12,32,0,8,,,,,,,,,,,,,,,144
357781ff34a3d39f,Cody Pfister,0,58,0,0,0,1,10,17,10,17,0,7,10,17,8,15,2,2,0,0,2,4,4,6,4,7,144
357781ff34a3d39f,Cody Pfister,0,13,0,0,0,2,2,15,2,15,0,1,2,15,2,14,0,1,0,0,2,15,0,0,0,0,0
df42fd9af4740d24,Jeremy Stephens,1,36,0,2,0,0,25,68,51,96,0,4,,,,,,,,,,,,,,,61
df42fd9af4740d24,Jeremy Stephens,0,55,0,0,0,1,10,18,25,33,0,1,10,18,1,9,5,5,4,4,3,11,7,7,0,0,18
df42fd9af4740d24,Jeremy Stephens,0,31,0,2,0,2,6,19,17,32,0,2,6,19,2,15,1,1,3,3,4,16,1,1,1,2,41
df42fd9af4740d24,Jeremy Stephens,1,29,0,0,0,3,9,31,9,31,0,1,9,31,6,27,2,3,1,1,8,30,0,0,1,1,2
df42fd9af4740d24,Marcus Davis,0,22,50,0,0,0,17,76,58,122,2,4,,,,,,,,,,,,,,,262
df42fd9af4740d24,Marcus Davis,0,27,33,0,0,1,6,22,15,34,1,3,6,22,6,21,0,1,0,0,6,21,0,1,0,0,149
df42fd9af4740d24,Marcus Davis,0,10,100,0,0,2,2,20,34,54,1,1,2,20,2,20,0,0,0,0,2,20,0,0,0,0,113
df42fd9af4740d24,Marcus Davis,0,26,,0,0,3,9,34,9,34,0,0,9,34,5,27,1,2,3,5,9,34,0,0,0,0,0
784a57385d0e87ff,Jake Matthews,0,31,0,2,0,0,36,114,50,129,0,4,,,,,,,,,,,,,,,74
784a57385d0e87ff,Jake Matthews,0,33,0,0,0,1,19,56,19,56,0,2,19,56,7,39,1,4,11,13,17,51,1,4,1,1,0
784a57385d0e87ff,Jake Matthews,0,30,0,0,0,2,6,20,7,21,0,2,6,20,4,16,2,3,0,1,4,16,1,2,1,2,1
784a57385d0e87ff,Jake Matthews,0,28,,2,0,3,11,38,24,52,0,0,11,38,4,26,7,12,0,0,9,33,2,3,0,2,73
784a57385d0e87ff,Johnny Case,0,35,16,0,0,0,35,100,49,116,1,6,,,,,,,,,,,,,,,197
784a57385d0e87ff,Johnny Case,0,36,0,0,0,1,18,50,18,50,0,1,18,50,8,35,6,9,4,6,16,46,0,2,2,2,14
784a57385d0e87ff,Johnny Case,0,37,50,0,0,2,9,24,20,37,1,2,9,24,3,15,4,7,2,2,3,16,2,2,4,6,157
784a57385d0e87ff,Johnny Case,0,30,0,0,0,3,8,26,11,29,0,3,8,26,4,16,4,10,0,0,8,24,0,2,0,0,26
6921344f8e706d0f,Daniel Cormier,0,68,33,0,0,0,181,263,230,317,1,3,,,,,,,,,,,,,,,182
6921344f8e706d0f,Daniel Cormier,0,80,50,0,0,1,37,46,71,83,1,2,37,46,25,34,7,7,5,5,13,16,3,3,21,27,164
6921344f8e706d0f,Daniel Cormier,0,68,,0,0,2,56,82,59,85,0,0,56,82,56,81,0,0,0,1,45,68,11,14,0,0,13
6921344f8e706d0f,Daniel Cormier,0,66,0,0,0,3,57,86,69,100,0,1,57,86,53,82,1,1,3,3,50,76,7,10,0,0,5
6921344f8e706d0f,Daniel Cormier,0,63,,0,0,4,31,49,31,49,0,0,31,49,28,46,1,1,2,2,31,49,0,0,0,0,0
6921344f8e706d0f,Stipe Miocic,1,53,33,0,0,0,123,229,135,244,1,3,,,,,,,,,,,,,,,90
6921344f8e706d0f,Stipe Miocic,0,53,,0,0,1,7,13,9,18,0,0,7,13,3,8,0,0,4,5,6,12,0,0,1,1,7
6921344f8e706d0f,Stipe Miocic,0,56,,0,0,2,46,82,48,84,0,0,46,82,37,72,8,9,1,1,42,76,4,6,0,0,20
6921344f8e706d0f,Stipe Miocic,0,50,33,0,0,3,34,67,40,73,1,3,34,67,28,61,5,5,1,1,24,50,10,17,0,0,61
6921344f8e706d0f,Stipe Miocic,1,53,,0,0,4,36,67,38,69,0,0,36,67,18,47,14,16,4,4,30,57,5,5,1,5,2
f24144fbe9e32c10,Taylor Lapilus,0,43,,0,0,0,63,146,84,168,0,0,,,,,,,,,,,,,,,57
f24144fbe9e32c10,Taylor Lapilus,0,36,,0,0,1,17,47,26,57,0,0,17,47,15,43,2,4,0,0,10,39,6,7,1,1,0
f24144fbe9e32c10,Taylor Lapilus,0,47,,0,0,2,24,51,29,56,0,0,24,51,14,41,8,8,2,2,14,38,7,9,3,4,26
f24144fbe9e32c10,Taylor Lapilus,0,45,,0,0,3,22,48,29,55,0,0,22,48,20,46,2,2,0,0,14,38,8,10,0,0,31
f24144fbe9e32c10,Leandro Issa,0,31,21,0,0,0,19,61,23,68,3,14,,,,,,,,,,,,,,,389
f24144fbe9e32c10,Leandro Issa,0,31,28,0,0,1,7,22,8,25,2,7,7,22,2,16,1,2,4,4,5,20,2,2,0,0,175
f24144fbe9e32c10,Leandro Issa,0,28,0,0,0,2,9,32,12,35,0,2,9,32,3,19,3,7,3,6,9,32,0,0,0,0,61
f24144fbe9e32c10,Leandro Issa,0,42,20,0,0,3,3,7,3,8,1,5,3,7,1,3,2,4,0,0,2,6,1,1,0,0,153
e5cb9dfc1189d77d,Kyler Phillips,1,38,25,0,0,0,72,187,80,196,1,4,,,,,,,,,,,,,,,47
