fight_id,round_finished,round_total,round_time_sec,fighter_id,result,event,stoppage_time_sec,opponent_name,fighter_name,method_type,method_specific
ce62a50e97d497f9,2,3,300,06e4245d16fc5315,loss,UFC Fight Night: Gane vs. Tuivasa,294,Stephanie Egger,Ailin Perez,SUB,Rear Naked Choke
0b3c3d363c82835f,1,3,300,16690d100f995f8f,loss,UFC Fight Night: Gustafsson vs Manuwa,276,Gunnar Nelson,Omari Akhmedov,SUB,Guillotine Choke
0b3c3d363c82835f,1,3,300,fd55393021a8c255,win,UFC Fight Night: Gustafsson vs Manuwa,276,Omari Akhmedov,Gunnar Nelson,SUB,Guillotine Choke
640dbb5a89c0aad6,1,3,300,3f11b5d4bd76a6d9,loss,UFC Fight Night: Hendricks vs Thompson,137,Derrick Lewis,Damian Grabowski,KO/TKO,Punch
640dbb5a89c0aad6,1,3,300,d3df1add9d9a7efb,win,UFC Fight Night: Hendricks vs Thompson,137,Damian Grabowski,Derrick Lewis,KO/TKO,Punch
25cd989ac5569629,2,3,300,88d7b6d8230e1f3f,loss,UFC Fight Night: Lewis vs. Abdurakhimov,174,Gian Villante,Saparbeg Safarov,KO/TKO,Punches
25cd989ac5569629,2,3,300,fcd448a2fe1a23cc,win,UFC Fight Night: Lewis vs. Abdurakhimov,174,Saparbeg Safarov,Gian Villante,KO/TKO,Punches
42b28adbed6966b7,3,3,300,5da33b8fbfa5ee95,win,UFC Fight Night: Font vs. Aldo,300,Alonzo Menifield,William Knight,U-DEC,
42b28adbed6966b7,3,3,300,a495f599e787614f,loss,UFC Fight Night: Font vs. Aldo,300,William Knight,Alonzo Menifield,U-DEC,
f4bdf10856c1760e,1,3,300,361d49960a196976,win,UFC on FX: Guillard vs Miller,97,Pat Schilling,Daniel Pineda,SUB,Rear Naked Choke
f4bdf10856c1760e,1,3,300,de12bd65e2f46478,loss,UFC on FX: Guillard vs Miller,97,Daniel Pineda,Pat Schilling,SUB,Rear Naked Choke
a0163cdde4ec785d,1,3,300,d2c55d1d2e67773b,loss,UFC Fight Night: Barboza vs. Gaethje,49,Jack Hermansson,David Branch,SUB,Guillotine Choke
a0163cdde4ec785d,1,3,300,0a1942069c9ad6b6,win,UFC Fight Night: Barboza vs. Gaethje,49,David Branch,Jack Hermansson,SUB,Guillotine Choke
6e0c1faaf40caf9a,1,3,300,beecb672a279223e,win,UFC 251: Usman vs. Masvidal,141,Paige VanZant,Amanda Ribas,SUB,Armbar
6e0c1faaf40caf9a,1,3,300,4d5197f331c47290,loss,UFC 251: Usman vs. Masvidal,141,Amanda Ribas,Paige VanZant,SUB,Armbar
0ac2da3dbaf2fce2,3,3,300,6e344b71421103da,win,UFC Fight Night: Whittaker vs. Aliskerov,300,Brendson Ribeiro,Magomed Gadzhiyasulov,M-DEC,
0ac2da3dbaf2fce2,3,3,300,49edd0d90f60fb7d,loss,UFC Fight Night: Whittaker vs. Aliskerov,300,Magomed Gadzhiyasulov,Brendson Ribeiro,M-DEC,
08cbd4c521831adf,2,3,300,a3be148af5c7b088,loss,UFC Fight Night: Jedrzejczyk vs Penne,204,Magomed Mustafaev,Piotr Hallmann,KO/TKO,
08cbd4c521831adf,2,3,300,31d7446b184e3305,win,UFC Fight Night: Jedrzejczyk vs Penne,204,Piotr Hallmann,Magomed Mustafaev,KO/TKO,
4a00db8aeff200a2,2,5,300,7dda2cf308f24a02,win,UFC Fight Night: Lemos vs. Jandiroba,288,Amanda Lemos,Virna Jandiroba,SUB,Armbar
4a00db8aeff200a2,2,5,300,3df5493bb279226f,loss,UFC Fight Night: Lemos vs. Jandiroba,288,Virna Jandiroba,Amanda Lemos,SUB,Armbar
87a969d51de6e179,2,3,300,232c582f29f8f65e,win,UFC 210: Cormier vs. Johnson 2,193,Chris Weidman,Gegard Mousasi,KO/TKO,Knee
87a969d51de6e179,2,3,300,3a8176e15b9887c1,loss,UFC 210: Cormier vs. Johnson 2,193,Gegard Mousasi,Chris Weidman,KO/TKO,Knee
c58b3223b5caa18a,3,3,300,cd3d7e37ff2d679c,loss,UFC Fight Night: Dos Anjos vs. Fiziev,300,Aiemann Zahabi,Ricky Turcios,U-DEC,
c58b3223b5caa18a,3,3,300,24656ef4d605c96f,win,UFC Fight Night: Dos Anjos vs. Fiziev,300,Ricky Turcios,Aiemann Zahabi,U-DEC,
fde66b153c65e25d,1,3,300,8355922d564b152c,win,UFC 135: Jones vs Rampage,267,Takanori Gomi,Nate Diaz,SUB,Armbar
fde66b153c65e25d,1,3,300,3be081c29bf734d9,loss,UFC 135: Jones vs Rampage,267,Nate Diaz,Takanori Gomi,SUB,Armbar
9f10afab94cafc45,3,3,300,6fd953151d981979,win,UFC Fight Night: Stephens vs. Choi,300,Danielle Taylor,JJ Aldrich,U-DEC,
9f10afab94cafc45,3,3,300,b76c6268dc1d3c05,loss,UFC Fight Night: Stephens vs. Choi,300,JJ Aldrich,Danielle Taylor,U-DEC,
524ce5c0d6db74bb,1,3,300,b7d524c77c27389b,win,UFC 80: Rapid Fire,64,Jess Liaudin,Marcus Davis,KO/TKO,Punch
524ce5c0d6db74bb,1,3,300,a8aba6fd8a463043,loss,UFC 80: Rapid Fire,64,Marcus Davis,Jess Liaudin,KO/TKO,Punch
9115354413739aa8,1,3,300,27b164b0d1833df0,loss,UFC Fight Night: Gaethje vs. Vick,297,Joanne Wood,Kalindra Faria,SUB,Armbar
9115354413739aa8,1,3,300,12f91bfa8f1f723b,win,UFC Fight Night: Gaethje vs. Vick,297,Kalindra Faria,Joanne Wood,SUB,Armbar
ac6cb989ccc38f73,3,3,300,6c2030e0a143a94b,loss,UFC Fight Night: Gustafsson vs. Teixeira,300,Trevor Smith,Chris Camozzi,U-DEC,
ac6cb989ccc38f73,3,3,300,f797f0c57a83353e,win,UFC Fight Night: Gustafsson vs. Teixeira,300,Chris Camozzi,Trevor Smith,U-DEC,
972b0643185b2570,3,3,300,ab850a77a0fa487d,win,UFC Fight Night: Bigfoot vs Arlovski,300,Paulo Thiago,Sean Spencer,U-DEC,
972b0643185b2570,3,3,300,30a09e43f15f1d75,loss,UFC Fight Night: Bigfoot vs Arlovski,300,Sean Spencer,Paulo Thiago,U-DEC,
16dbe70eb7007f17,1,3,300,102a8fdf8cbf7467,win,UFC 284: Makhachev vs. Volkanovski,59,Shannon Ross,Kleydson Rodrigues,KO/TKO,Punches
16dbe70eb7007f17,1,3,300,51c655162e462ceb,loss,UFC 284: Makhachev vs. Volkanovski,59,Kleydson Rodrigues,Shannon Ross,KO/TKO,Punches
946cae1beed2baec,3,3,300,7138a15258dabf20,loss,UFC 312: Du Plessis vs. Strickland 2,300,Wang Cong,Bruna Brasil,U-DEC,
946cae1beed2baec,3,3,300,2997e7fe3c9d3d4a,win,UFC 312: Du Plessis vs. Strickland 2,300,Bruna Brasil,Wang Cong,U-DEC,
